Company Name,Industry,Symbol,Series,ISIN Code,description
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,"BSE Limited, together with its subsidiaries, provides a platform for trading in equity, debt instruments, derivatives, and mutual funds in India and internationally. It offers securities, data dissemination, repository, index, and depository services. The company also provides clearing and settlement, IT support, training, risk management, and investment services, as well as engages in the corporate social responsibility activities. In addition, it undertakes administration and supervision of SEBI registered investment advisers; insurance broking; operates an electronic spot platform for agricultural commodities; and operates a platform for trading in equities of small-and-medium enterprises. The company was formerly known as Bombay Stock Exchange Limited and changed its name to BSE Limited in July 2011. BSE Limited was founded in 1875 and is based in Mumbai, India."
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,"Balkrishna Industries Limited manufactures and sells tires in India, Europe, North America, and internationally. It provides off-highway tires for use in various applications, such as agricultural, construction, earthmoving, port, and mining industries. The company was incorporated in 1961 and is headquartered in Mumbai, India."
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,"Bandhan Bank Limited provides commercial banking services in India. It operates through Treasury, Retail Banking, Corporate/Wholesale Banking, and Other Banking Business segments. The company accepts fixed and recurring deposits; and offers savings, and current accounts. In addition, it provides home, gold, personal, two-wheeler, and car loans; loans against property and term deposits; and loans for small, medium, and large businesses. Further, the company invests in sovereign securities; offers liability products, card services, internet and mobile banking, ATM, trading, and NRI services; and distributes third party products. Additionally, it provides mutual fund, money transfer, bill payment and recharge, debit and credit card, safe deposit locker, remittance, transaction banking, trade finance, and cash management services, as well as health, life, home, travel, property, and car insurance products. Bandhan Bank Limited was incorporated in 2014 and is headquartered in Kolkata, India."
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,"Bank of India Limited provides various banking products and services. It operates through Treasury Operations, Wholesale Banking, and Retail Banking segments. The company accepts various deposit products, such as savings, salary, current, term, and tax saving deposits. It also offers home, education, vehicle, personal, pensioner, and top-up loans, as well as loan for Pradhan Mantri Awas Yojana and against property; housing loans to NRIs/PIOs; overdraft against securities; loans against FCNR deposits; and loans for corporate and MSME customers. In addition, the company provides cash management services; trade finance; online share trading services; insurance products and services; mutual fund products; portfolio management services; credit, debit, and prepaid cards; and remittance, online banking and payment, online income tax return, and ATM and other kiosk services, as well as cards, loans, and services to rural customers. The company was incorporated in 1906 and is headquartered in Mumbai, India."
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,"Bank of Maharashtra provides various banking products and services in India. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking segments. It accepts savings, current, term, and demand deposits, as well as provides capital gain account schemes. The company also offers housing loans, vehicle loans, topup loans, education loans, gold loans, consumer and personal loans, salary gain and green financing schemes, and adhaar loans, as well as loans against properties; working capital, term, project, infrastructure, export, and bill financing services; lines of credit; commercial lease rental services; accounts takeover services; non-fund based services; micro, small, and medium enterprise loans; and agriculture loans. In addition, it provides digital banking and lending services, and government schemes; documentary credits and collections, import and export financing, guarantees, travel related forex, non-resident Indian services, remittance schemes, and risk management services; and remittance facilities, as well as hedges exchange risk. Bank of Maharashtra was incorporated in 1935 and is headquartered in Pune, India."
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018,"Bharat Dynamics Limited engages in the manufacturing and sale of guided missiles and allied equipment in India. It provides surface to air, air-to-air, and anti-tank guided missiles, as well as underwater weapons, launchers, counter measures dispensing systems, test equipment, torpedoes, mechanized infantry weapons, allied defense equipments, anti-submarine warfare suite, etc. The company offers its products to the Indian Armed forces and government of India. It also exports its products. Bharat Dynamics Limited was incorporated in 1970 and is headquartered in Hyderabad, India."
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,"Bharat Forge Limited manufactures and sells forged and machined components in India and internationally. It operates in two segments, Forgings and Others. The company offers automotive components, including crankshafts, connecting rods, emission/after treatment, fuel injection systems, chassis, and transmission and driveline components; and power generation components for thermal, hydro, and wind energy. It provides oil and gas forging products, such as subsea, surface, and drilling components; rail products comprising engine and bogie components, turbochargers, and power electronics; and marine products that include propellers, marine motor, stern tube, crankshaft, conrod, piston rod, and rubbers. In addition, the company offers various components for the aviation sector, such as fan blades, compressors, turbines, aero structures, and landing gear components; construction and mining products, including track links, front spindles, machined crankshafts, and injector bodies; and electric power-train products, such as full powertrain solutions, systems and sub systems, and parts for powertrain. Further, it designs engineering and product development solutions. The company was incorporated in 1961 and is headquartered in Pune, India."
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,"Bharat Heavy Electricals Limited operates as engineering and manufacturing company in India. The company operates in two segments: Power and Industry. It offers thermal power plants, nuclear power plants, gas-based power plants, hydro power plants, solar power systems, DG power plants, desalination and water treatment plants, systems and services, industrial systems, boilers, boiler auxiliaries, soot blowers, valves, piping systems, seamless steel tubes, steam turbines, turbo generators, industrial sets, castings and forgings, condenser and heat exchangers, pumps, compressors, solar photovoltaics, and automation and control systems. The company provides transmission systems control, software system solutions, medium voltage vacuum switchgears, on load tap changers, LT switchgears and bus ducts, transformers and reactors, capacitors, bushings, control gears, insulators, electrical machines, rail transportation systems, defense and aerospace products, transportation equipment, energy storage systems and e-mobility, oil field equipment, and fabricated equipment and mechanical packages. It serves customers in power-thermal, transmission, transportation, renewables, water, oil and gas, defense and aerospace, hydro, gas, nuclear and solar PV, energy storage, electric mobility, petrochemicals, and other industries. Bharat Heavy Electricals Limited was incorporated in 1964 and is based in New Delhi, India."
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Biocon Limited, a biopharmaceutical company, manufactures pharmaceuticals, and medicinal chemical and botanical products. The company operates through Generics, Novel Biologics, Biosimilars, and Research Services segments. It focuses in the areas of diabetes, oncology, immunology, ophthalmology, and bone health diseases. In addition, the company is involved in the integrated discovery, development, and manufacturing services for small and large molecules. It serves customers in approximately 120 countries. The company was incorporated in 1978 and is headquartered in Bengaluru, India."
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,"CG Power and Industrial Solutions Limited provides various solutions to utilities, industries, and consumers for the management and application of electrical energy in India and internationally. The company operates through Power Systems and Industrial Systems segments. The Power Systems segment offers power and distribution transformers, switchgears, circuit breakers, instrument transformers, lightning arrestors, isolators, and vacuum interrupters. It also undertakes design, products, procurement, construction, erection, and servicing of turnkey transmission and distribution projects, as well as substation projects. The Industrial Systems segment provides motors, AC generators, drives and automation, soft starters and shaft power monitors, heat exchanger drives with switched reluctance motors, domestic and commercial fans, traction electronics and traction machines for railway transportation, railway signaling equipment, and stampings and laminations, as well as residential, agricultural, and specialty pumps. It also offers services and refurbishment of large rotating machines. The company was formerly known as Crompton Greaves Limited and changed its name to CG Power and Industrial Solutions Limited in February 2017. CG Power and Industrial Solutions Limited was incorporated in 1937 and is headquartered in Mumbai, India."
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,"Coforge Limited provides information technology (IT) and IT enabled services in India, the Americas, Europe, the Middle East and Africa, India, and the Asia Pacific. It offers digital process automation services, including workflow/process management, artificial intelligence (AI) and predictive analytics, RPA, and case management; digital services, such as interactive services, product engineering, enterprise, and intelligent automation; and cloud and infrastructure management services comprising cloud, workplace, cybersecurity, data center, and always on network, as well as service integration services. The company provides cybersecurity services, which include security incident management; vulnerability management; threat intelligence; identity and access management; phishing, analysis, and training; governance & risk management; and workplace security. In addition, it offers AI and machine learning, business analytics and BI, data engineering and management, D&A Ops, and advisory services; advanced application engineering services, including development, operations, and quality engineering services; business process solutions; and media solutions, such as print design services and marketing solutions. The company serves insurance, travel, transportation, hospitality, banking and financial services, healthcare and life sciences, public sector, and retail and consumer goods industries. It has strategic alliances with Kong Inc. for cloud API services; and Newgen Software Technologies Limited to enhance digital operations for organizations. The company was formerly known as NIIT Technologies Limited and changed its name to Coforge Limited in August 2020. Coforge Limited was incorporated in 1992 and is based in New Delhi, India."
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,"Container Corporation of India Limited engages in handling, transportation, and warehousing activities in India. It operates through two segments, EXIM and Domestic. The company provides inland transport by rail for containers; manages ports and air cargo complexes; engages in the cold-chain business for fruits and vegetables; and develops multimodal logistics support for containerization and trade. It also offers road transportation services for door-to-door services; operates logistics facilities, including dry ports, container freight stations, and private freight terminals; and handling of air cargos and containers. In addition, the company engages in leasing/renting out the warehousing space for cold storage, controlled atmosphere storage, and custom bonded warehousing. As of March 31, 2023, it had 37,074 owned and leased containers; 108 reach stackers; 14 gantry cranes; and 31 reefer power packs. The company also operates 61 terminals, including 5 EXIM terminals, 36 combined container terminals, and 17 domestic terminals. Container Corporation of India Limited was incorporated in 1988 and is based in New Delhi, India."
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,"Cummins India Limited designs, manufactures, distributes, and services engines, generator sets, and related technologies in India. The company operates through two segments: Engines; and Lubes. The company provides accelera, G-drive, pumps, and browse engines for agriculture, compressor engines, construction, marine, mining, oil and gas, truck, and rail industries; and generators and power systems, integrated power systems, alternators, transfer switches, generator set controls, system level controls and switchgears, and browse generators for data centers, healthcare, hospitality, infrastructure, manufacturing, marine, and reality industries. It offers holset turbochargers, power turbines, two-stage systems, turbo componentry, and turbocharger brochures; aftertreatment; components care centers; and electronics and fuel systems. In addition, it offers digital products; and other parts and sales and services. It exports its products to the United States, Europe, Mexico, Africa, the Middle East, and China. The company was incorporated in 1962 and is headquartered in Pune, India. Cummins India Limited is a subsidiary of Cummins Inc."
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,"Dalmia Bharat Limited, together with its subsidiaries, manufactures and sells clinker and cement products to individual consumers and institutional customers. It provides Portland slag cement, Portland pozzolana cement, Portland composite cement, ordinary Portland cement, and specialty cement under the Dalmia Cement, Konark Cement, and Dalmia DSP brands. The company also offers refractory products; sugar products; power; and management consultancy services. The company was formerly known as Odisha Cement Limited and changed its name to Dalmia Bharat Limited in April 2019. Dalmia Bharat Limited was founded in 1939 and is headquartered in New Delhi, India."
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,"Deepak Nitrite Limited manufactures and sells chemical intermediates in India and internationally. It operates through Advanced Intermediates and Phenolics segments. The company offers sodium nitrite, sodium nitrate, nitro toluidines, fuel additives, nitrosyl sulphuric acid, xylidines, oximes, cumidines, speciality agrochemicals, optical brightening agent, and diamino stilbene disulfonic acid for colourants, rubber chemicals, explosives, dyes, pigments, food colours, pharmaceuticals, diesel blending, agrochemicals, glass, personal care, paper, detergents, and textiles industries. In addition, it provides cumene, phenol, acetone, isopropyl alcohol, and AMS for various applications including laminates, ply, adhesive, paints, auto, pharmaceuticals, plastics, etc. Deepak Nitrite Limited was incorporated in 1970 and is headquartered in Vadodara, India."
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,"Delhivery Limited provides supply chain solutions to e-commerce marketplaces, direct-to-consumer e-tailers, enterprises, FMCG, consumer durables, consumer electronics, lifestyle, retail, automotive and manufacturing industries in India. The company offers logistics services, including express parcel delivery, heavy goods delivery, part truckload freight, truckload freight, warehousing supply chain solutions, cross-border express, and freight services; supply chain software; and e-commerce return services, payment collection and processing, installation and assembly, and fraud detection services. The company was incorporated in 2011 and is based in Gurugram, India."
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,"Dixon Technologies (India) Limited provides electronic manufacturing services in India. The company offers consumer electronics, including LED TVs and AC PCB; home appliances, such as washing machines; lighting products comprising LED bulbs, battens, and down lighters, etc.; mobile phones and EMS, which include smart phones, PCB for mobile phones, medical electronics, and set top boxes; and security systems, such as CCTV camera and digital video recorders. It also provides solutions in reverse logistics, such as repair and refurbishment services; and IT hardware. Dixon Technologies (India) Limited was incorporated in 1993 and is headquartered in Noida, India."
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,"Dr. Lal PathLabs Limited engages in the operation of laboratories for carrying out pathological investigations in India and internationally. The company provides pathological investigations of various branches of bio-chemistry, hematology, histopathology, microbiology, electrophoresis, immuno-chemistry, immunology, virology, cytology, and other pathological and radiological investigations. It also offers training programs. The company was founded in 1949 and is based in Gurugram, India."
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,"Escorts Kubota Limited manufactures and sells agri machinery, construction equipment, and railway equipment in India and internationally. The company offers agricultural tractors under the Farmtrac, Farmpower, Powertrac, Steeltrac E-Kubota, and Digitrac brands; crop solutions; engines; spare parts; lubricants; and sprayers, harvesters, implements, planters, and gensets. It provides construction, earth moving and material handling equipment, round and flat tubes, heating elements, double acting hydraulic shock absorbers for railways coaches, center buffer couplers, automobile shock absorbers, telescopic front fork and Mcpherson struts, brake blocks, internal combustion engines, and friction and rubber products. In addition, the company offers metal bonded and other products. Further, the company trades in oils and lubricants, implements, trailers, tractors, compressor accessories and spares, construction equipment, and earth moving and material handling equipment. The company was formerly known as Escorts Limited and changed its name to Escorts Kubota Limited in June 2022. Escorts Kubota Limited was incorporated in 1944 and is based in Faridabad, India."
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,"FSN E-Commerce Ventures Limited, through its subsidiaries, provides a range of beauty, personal care, and fashion products for women, men, kids, tech, and home in India and the United Arab Emirates. The company manufactures, distributes, and sells beauty, wellness, fitness, personal care, health care, skin care, hair care products, fashion garments, fashion accessories, and equipment. It also provides western wear, Indian wear, lingerie, footwear, bags, jewellery, accessories, athleisure, home decor, bath, and kitchen products. The company offers its products under the Nykaa Cosmetics, Nykaa Naturals, Kay Beauty, Twenty Dresses, Wanderlust, Likha, Azai, MIXT, Nyri, NYKD, RSVP, Dot & Key, Twenty Dresses, Nykd by Nykaa, Pipa Bella, Gajra Gang, Earth Rhythm, Kica, and Nudge Wellness brands. It retails its products through e-commerce, m-commerce, Internet, and Intranet, as well as through physical stores, stalls, general trade, modern trade, etc. It operates physical stores under the Nykaa Luxe, Nykaa On Trend, Nysaa, and Nykaa Kiosks formats. The company was incorporated in 2012 and is based in Mumbai, India."
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,"The Federal Bank Limited provides a range of banking and financial services in India. It operates through four segments: Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Operations. The company's deposit products include savings accounts, current accounts, noor personal accounts, demat accounts, salary accounts, fixed deposits, cash certificates, recurring deposits, exchange earners' foreign currency accounts, gilt accounts, and NRI deposit schemes. Its loan portfolio comprises personal, gold, housing, car, property, education and career, instant digital, SME business, agri and agri allied, and other loans; loans against sovereign gold bonds and fixed deposit; term loans, project finance, and working capital loans; and debit and credit cards. The company also provides life, health, and general insurance products; cash management, wealth management, and merchant banking services; mutual funds, sovereign gold bonds, online trading, and national pension system; treasury products; and remittance, fund transfer, payment and collection, bill discounting, bank guarantees, letter of credit, packing credit limit, trade finance, LC bill discounting, safe deposit locker, e-commerce, internet banking, mobile banking, ATM, and tele banking services. It operates a network of branches and ATMs/cash recyclers. The company was formerly known as Travancore Federal Bank Limited and changed its name to The Federal Bank Limited in March 1947. The Federal Bank Limited was incorporated in 1931 and is based in Aluva, India."
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,"The Fertilisers and Chemicals Travancore Limited manufactures and markets fertilizers and petrochemicals in India. It operates through Fertilizer and Petrochemical segments. The company offers complex fertilizers, including ammonium phosphate and sulphate, and zincated factamfos; straight fertilizers, such as ammonium sulphate; organic fertilizers; bio-fertilizers comprising azospirillum, rhizobium, and phosphate solubilizing bacteria; and bagged gypsum. It also provides caprolactam, such as benzene, sulphur, ammonia, and carbon-di-oxide for use in manufacturing nylon tire cords, nylon filament yarns, engineering plastics, etc. in textile and automobile industries; and by-products comprising anhydrous ammonia, nitric acid and soda ash, carbon dioxide, gypsum, colored-ammonium sulphate, and sulphuric acid, as well as cyclohexane. In addition, the company imports fertilizers, including muriate of potash and others; and offers various services for farmers. Further, it is involved in the engineering consultancy and design, fabrication, and erection of industrial equipment activities. The Fertilisers and Chemicals Travancore Limited was incorporated in 1943 and is headquartered in Kochi, India."
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,"Fortis Healthcare Limited, an integrated healthcare delivery service provider, offers secondary, tertiary, and quaternary care in India, the United Arab Emirates, Nepal, Sri Lanka, and internationally. Its healthcare verticals comprise hospitals, diagnostics, and day care specialty facilities. The company offers services in the areas of cardiac science, cosmetology, dental science, dermatology, diabetology/endocrinology, emergency and trauma, ENT, foetal medicine, gastroenterology and hepatology science, general surgery, haematology, infertility medicine, internal medicine, mental health and behavioral science, nephrology, neuro surgery, neurointerventional radiology, neurology, obstetrics and gynaecology, oncology, ophthalmology, orthopedics, pediatrics, physiotherapy and rehabilitation, plastic and reconstructive surgery, pulmonology, radiology, organ transplanrheumatology, thoracic surgery, transplantation medicine, urology, and other support specialties, as well as ear, nose, and throat. The company was founded in 1995 and is based in Gurugram, India."
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039,"GMR Airports Infrastructure Limited operates and develops airports in India. It is also involved in operation of international airports on build, own, operate, and transfer basis. The company was formerly known as GMR Infrastructure Limited and changed its name to GMR Airports Infrastructure Limited in September 2022. GMR Airports Infrastructure Limited was incorporated in 1996 and is based in New Delhi, India."
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,"Gland Pharma Limited engages in manufacturing and sale of injectable formulation in India, the United States, Europe, Canada, Australia, New Zealand, and internationally. The company engages in research and development of pharmaceutical API products including synthesis of complex drug molecules, such as LMWH, corticosteroids, peptides, and cytotoxic molecules. The company offers its products for various therapeutic categories, such as anti-malarial, anti-infectives, anti-neoplastic, blood related, cardiac, gastro intestinal, gynecological, hormones, neuro/Cns, ophthal/ontological, and other areas, as well as pain and analgesics, respirator, and vitamins, minerals and nutrients; and offers contract development services. The company was incorporated in 1978 and is headquartered in Hyderabad, India. Gland Pharma Limited operates as a subsidiary of Fosun Pharma Industrial Pte. Ltd."
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,"Godrej Properties Limited, together with its subsidiaries, primarily engages in the real estate construction, development, and other related activities in India. The company develops residential, commercial, and township projects. Godrej Properties Limited was incorporated in 1985 and is headquartered in Mumbai, India."
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,"Gujarat Gas Limited engages in the distribution of natural gas in India. It operates a network of approximately 36,000 kilometers of gas pipeline and 800 compressed natural gas stations. The company supplied piped natural gas to approximately 19.30 lakh households; approximately 4,335 industrial customers; and approximately 14,500 commercial and non-commercial customers. It operates in 44 districts in 6 states of Gujarat, Maharashtra, Rajasthan, Haryana, Punjab, Madhya Pradesh; and 1 union territory of Dadra and Nagar Haveli. The company was formerly known as GSPC Distribution Networks Limited and changed its name to Gujarat Gas Limited in May 2015. Gujarat Gas Limited was incorporated in 2012 and is based in Ahmedabad, India. Gujarat Gas Limited operates as a subsidiary of Gujarat State Petronet Limited."
